HOME	INICIO	首页	START	ГЛАВНАЯ
These steps apply where Bedrock supports adding external servers. Console menus may differ.	Estos pasos se aplican donde Bedrock permite servidores externos. Los menús de consola pueden variar.	这些步骤适用于支持添加外部服务器的 Bedrock 版本。主机菜单可能不同。	Diese Schritte gelten, wenn Bedrock externe Server unterstützt. Konsolenmenüs können abweichen.	Эти шаги подходят для Bedrock с поддержкой внешних серверов. Меню консолей могут отличаться.
Log out	Cerrar sesión	退出登录	Abmelden	Выйти
Copy IP	Copiar IP	复制 IP	IP kopieren	Копировать IP
Copying…	Copiando…	正在复制…	Wird kopiert…	Копирование…
Sound	Sonido	声音	Ton	Звук
ON	ACTIVADO	开	AN	ВКЛ
OFF	DESACTIVADO	关	AUS	ВЫКЛ
Joining on Java	Entrar con Java	通过 Java 加入	Mit Java beitreten	Вход через Java
Joining on Bedrock	Entrar con Bedrock	通过 Bedrock 加入	Mit Bedrock beitreten	Вход через Bedrock
THE MARKET'S HEAVY HITTERS	LOS LÍDERES DEL MERCADO	市场顶尖玩家	DIE SPITZENREITER DES MARKTS	ЛИДЕРЫ МАРКЕТА
Z MARKET LEADERBOARD	CLASIFICACIÓN DEL MERCADO Z	Z 市场排行榜	Z-MARKT-RANGLISTE	РЕЙТИНГ Z МАРКЕТА
Most Zs available right now.	Más Zs disponibles ahora.	当前可用 Zs 最多。	Die meisten verfügbaren Zs.	Больше всего доступных Zs.
All Zs earned, ever.	Todos los Zs ganados.	历史累计获得的 Zs。	Alle jemals verdienten Zs.	Все заработанные Zs.
Who’s taking the crown?	¿Quién se llevará la corona?	谁将夺得桂冠？	Wer holt sich die Krone?	Кому достанется корона?
Leaderboard temporarily unavailable.	Clasificación no disponible temporalmente.	排行榜暂时不可用。	Rangliste vorübergehend nicht verfügbar.	Рейтинг временно недоступен.
Loading players…	Cargando jugadores…	正在加载玩家…	Spieler werden geladen…	Загрузка игроков…
The first spot is waiting for you.	El primer puesto te espera.	榜首等待着你。	Der erste Platz wartet auf dich.	Первое место ждёт тебя.
SHOW UP. STACK Zs. JOIN IN.	VEN. GANA Zs. PARTICIPA.	参与互动，积累 Zs。	SEI DABEI. SAMMLE Zs. MACH MIT.	ПРИХОДИ. КОПИ Zs. УЧАСТВУЙ.
Win trivia, play games, and unlock your next stream interaction.	Gana trivias, juega y desbloquea tu próxima interacción del stream.	赢取答题奖励，畅玩游戏，解锁下一次直播互动。	Gewinne Quizfragen, spiele und schalte deine nächste Stream-Interaktion frei.	Побеждай в викторинах, играй и открывай взаимодействия со стримом.
Answer trivia questions in Zeek’s chat to earn Zs.	Responde trivias en el chat de Zeek para ganar Zs.	在 Zeek 的聊天中答题赢取 Zs。	Beantworte Quizfragen in Zeeks Chat, um Zs zu verdienen.	Отвечай на вопросы в чате Zeek и зарабатывай Zs.
Use Zs to unlock stream interactions and forfeits.	Usa Zs para desbloquear interacciones y retos del stream.	使用 Zs 解锁直播互动和挑战。	Nutze Zs für Stream-Interaktionen und Aufgaben.	Используй Zs для взаимодействий и заданий на стриме.
Play Arcade games to risk your Zs and win more.	Juega en el Arcade para arriesgar tus Zs y ganar más.	在游戏厅投入 Zs，赢取更多。	Riskiere deine Zs in Arcade-Spielen und gewinne mehr.	Рискуй Zs в Аркаде и выигрывай больше.
Playing…	Jugando…	游戏中…	Spiel läuft…	Играем…
Connect to play ↗	Conecta para jugar ↗	连接账户开始游戏 ↗	Zum Spielen anmelden ↗	Войди для игры ↗
Create Challenge →	Crear desafío →	创建挑战 →	Duell erstellen →	Создать дуэль →
Drop the ball ↓	Soltar la bola ↓	投下小球 ↓	Ball fallen lassen ↓	Бросить шарик ↓
Start game →	Iniciar partida →	开始游戏 →	Spiel starten →	Начать игру →
Collect	Retirar	收取收益	Gewinn sichern	Забрать
YOUR RUN. YOUR RULES.	TU PARTIDA. TUS REGLAS.	你的游戏，你的规则。	DEIN SPIEL. DEINE REGELN.	ТВОЯ ИГРА. ТВОИ ПРАВИЛА.
PLAYER VS PLAYER	JUGADOR CONTRA JUGADOR	玩家对战	SPIELER GEGEN SPIELER	ИГРОК ПРОТИВ ИГРОКА
CHALLENGE THE COMMUNITY	DESAFÍA A LA COMUNIDAD	挑战社区玩家	FORDERE DIE COMMUNITY HERAUS	БРОСЬ ВЫЗОВ СООБЩЕСТВУ
YOUR RUN. YOUR MOMENT.	TU PARTIDA. TU MOMENTO.	你的游戏，你的时刻。	DEIN SPIEL. DEIN MOMENT.	ТВОЯ ИГРА. ТВОЙ МОМЕНТ.
HEAD-TO-HEAD / 1v1	CARA A CARA / 1v1	玩家对战 / 1v1	SPIELERDUELL / 1v1	ДУЭЛИ / 1v1
SINGLE PLAYER	UN JUGADOR	单人游戏	EINZELSPIELER	ОДИНОЧНАЯ ИГРА
HEADS	CARA	正面	KOPF	ОРЁЛ
TAILS	CRUZ	反面	ZAHL	РЕШКА
HIGH	ALTO	高	HOCH	БОЛЬШЕ
LOW	BAJO	低	NIEDRIG	МЕНЬШЕ
HIGHER	MÁS ALTA	更高	HÖHER	ВЫШЕ
LOWER	MÁS BAJA	更低	NIEDRIGER	НИЖЕ
ROCK	PIEDRA	石头	STEIN	КАМЕНЬ
PAPER	PAPEL	布	PAPIER	БУМАГА
SCISSORS	TIJERAS	剪刀	SCHERE	НОЖНИЦЫ
In progress	En curso	进行中	Läuft	В процессе
Waiting for opponent	Esperando rival	等待对手	Warte auf Gegner	Ожидание соперника
Cancelled	Cancelado	已取消	Abgebrochen	Отменено
Tie	Empate	平局	Unentschieden	Ничья
Even	Sin cambios	持平	Ausgeglichen	Без изменений
YOU WIN	GANASTE	你赢了	DU GEWINNST	ТЫ ПОБЕДИЛ
YOU LOSE	PERDISTE	你输了	DU VERLIERST	ТЫ ПРОИГРАЛ
TIE	EMPATE	平局	UNENTSCHIEDEN	НИЧЬЯ
PUSH	EMPATE	平局退回	UNENTSCHIEDEN	ВОЗВРАТ
Cancel challenge	Cancelar desafío	取消挑战	Duell abbrechen	Отменить дуэль
Choose & challenge →	Elegir y desafiar →	选择并挑战 →	Wählen & herausfordern →	Выбрать и бросить вызов →
Take the other side →	Aceptar el otro lado →	接受对战 →	Andere Seite wählen →	Принять другую сторону →
YOUR GAME IN PROGRESS	TU PARTIDA EN CURSO	你的游戏正在进行	DEIN LAUFENDES SPIEL	ТВОЯ ТЕКУЩАЯ ИГРА
SET YOUR PLAY	CONFIGURA TU PARTIDA	设置你的游戏	BEREITE DEIN SPIEL VOR	НАСТРОЙ ИГРУ
CHALLENGE THE ARENA.	DESAFÍA A LA ARENA.	挑战竞技场。	FORDERE DIE ARENA HERAUS.	БРОСЬ ВЫЗОВ АРЕНЕ.
HIT OR STAND.	PIDE O PLÁNTATE.	要牌或停牌。	KARTE ODER HALTEN.	ЕЩЁ КАРТУ ИЛИ ХВАТИТ.
KEEP GOING OR COLLECT.	SIGUE O RETIRA.	继续或收取收益。	WEITERSPIELEN ODER KASSIEREN.	ПРОДОЛЖИТЬ ИЛИ ЗАБРАТЬ.
READY WHEN YOU ARE.	LISTO CUANDO QUIERAS.	准备好了就开始。	BEREIT, WENN DU ES BIST.	НАЧИНАЙ, КОГДА ГОТОВ.
The first correct trivia answer wins {triviaReward}. Questions run every {triviaMinutes} minutes while live, with {answerSeconds} seconds to answer. Type !zs in Kick chat to see your balance.	La primera respuesta correcta gana {triviaReward}. Hay preguntas cada {triviaMinutes} minutos en vivo, con {answerSeconds} segundos para responder. Escribe !zs en el chat de Kick para ver tu saldo.	第一个答对的人赢得 {triviaReward}。直播期间每 {triviaMinutes} 分钟出题，答题时间为 {answerSeconds} 秒。在 Kick 聊天中输入 !zs 查看余额。	Die erste richtige Antwort gewinnt {triviaReward}. Im Live-Stream gibt es alle {triviaMinutes} Minuten eine Frage mit {answerSeconds} Sekunden Antwortzeit. Tippe !zs im Kick-Chat für deinen Kontostand.	Первый правильный ответ приносит {triviaReward}. Вопросы появляются каждые {triviaMinutes} минут эфира, на ответ даётся {answerSeconds} секунд. Введи !zs в чате Kick для проверки баланса.
Spend Zs on stream interactions. A moderator deducts your BotRix points and approves the conversion. {conversion}	Gasta Zs en interacciones del stream. Un moderador descuenta tus puntos BotRix y aprueba la conversión. {conversion}	使用 Zs 兑换直播互动。管理员会扣除你的 BotRix 积分并批准兑换。{conversion}	Nutze Zs für Stream-Interaktionen. Ein Moderator zieht deine BotRix-Punkte ab und genehmigt die Umwandlung. {conversion}	Трать Zs на взаимодействия со стримом. Модератор списывает баллы BotRix и подтверждает обмен. {conversion}
Coin Flip reserves your wager until another player accepts or you cancel. Both sides have a 50% chance. The winner receives the full pot, including their stake. Plinko uses eight independent turns generated on the server. Check every multiplier and its odds in the Arcade before playing.	Coin Flip reserva tu apuesta hasta que otro jugador acepte o canceles. Cada lado tiene un 50% de probabilidad. El ganador recibe todo el bote, incluida su apuesta. Plinko usa ocho giros independientes generados en el servidor. Consulta los multiplicadores y probabilidades antes de jugar.	Coin Flip 会锁定你的下注，直到其他玩家接受或你取消。双方胜率均为 50%，赢家获得整个奖池，包括自己的下注。Plinko 使用服务器生成的八次独立转向。游戏前请查看各倍率及概率。	Coin Flip reserviert deinen Einsatz, bis jemand annimmt oder du abbrichst. Beide Seiten haben 50 % Gewinnchance. Der Gewinner erhält den ganzen Topf einschließlich seines Einsatzes. Plinko nutzt acht unabhängige, serverseitige Richtungswechsel. Prüfe vor dem Spielen Multiplikatoren und Chancen.	Coin Flip резервирует ставку до принятия дуэли или отмены. Шанс каждой стороны — 50%. Победитель получает весь банк, включая свою ставку. Plinko использует восемь независимых поворотов, созданных сервером. Перед игрой проверь множители и шансы.
01 / EARN	01 / GANA	01 / 赚取	01 / VERDIENEN	01 / ЗАРАБАТЫВАЙ
02 / UNLOCK	02 / DESBLOQUEA	02 / 解锁	02 / FREISCHALTEN	02 / ОТКРЫВАЙ
03 / PLAY	03 / JUEGA	03 / 游戏	03 / SPIELEN	03 / ИГРАЙ
EARN · SPEND · PLAY	GANA · USA · JUEGA	赚取 · 使用 · 游玩	VERDIENEN · EINLÖSEN · SPIELEN	ЗАРАБАТЫВАЙ · ТРАТЬ · ИГРАЙ
How Zs Work	Cómo funcionan los Zs	Zs 使用指南	So funktionieren Zs	Как работают Zs
Answer questions correctly in ZeekFusion's Kick chat to earn Zs.	Responde correctamente a las preguntas en el chat de Kick de ZeekFusion para ganar Zs.	在 ZeekFusion 的 Kick 聊天中正确回答问题，即可赚取 Zs.	Beantworte Fragen im Kick-Chat von ZeekFusion richtig, um Zs zu verdienen.	Правильно отвечай на вопросы в чате ZeekFusion на Kick, чтобы получать Zs.
Use your Zs	Usa tus Zs	使用你的 Zs	Nutze deine Zs	Используй свои Zs
Use your Zs to buy stream rewards, interactions, challenges, and forfeits.	Usa tus Zs para comprar recompensas, interacciones, retos y penitencias en directo.	使用 Zs 兑换直播奖励、互动、挑战和惩罚。	Nutze deine Zs für Stream-Belohnungen, Interaktionen, Herausforderungen und Strafaufgaben.	Трать Zs на награды, взаимодействия, испытания и фанты на стриме.
Want even more Zs?	¿Quieres aún más Zs?	想获得更多 Zs？	Du willst noch mehr Zs?	Хочешь ещё больше Zs?
Risk them in the Arcade.	Arriésgalos en el Arcade.	在 Arcade 中冒险一试。	Setze sie in der Arcade ein.	Рискни ими в Arcade.
Find stream rewards →	Ver recompensas del directo →	查看直播奖励 →	Stream-Belohnungen entdecken →	Найти награды стрима →
Your Zs	Tus Zs	你的 Zs	Deine Zs	Твои Zs
Your Rank	Tu posición	你的排名	Dein Rang	Твоё место
Last Game	Última partida	最近一局	Letztes Spiel	Последняя игра
No games yet	Aún no hay partidas	暂无游戏记录	Noch keine Spiele	Пока нет игр
View Activity	Ver actividad	查看动态	Aktivität ansehen	История
Earn Zs	Gana Zs	赚取 Zs	Zs verdienen	Зарабатывай Zs
Answer trivia correctly in Kick chat.	Responde correctamente en el chat de Kick.	在 Kick 聊天中正确回答问题。	Beantworte Quizfragen im Kick-Chat richtig.	Правильно отвечай на вопросы в чате Kick.
Use Zs	Usa Zs	使用 Zs	Zs nutzen	Используй Zs
Buy stream rewards and interactions.	Compra recompensas e interacciones del directo.	兑换直播奖励和互动。	Hol dir Stream-Belohnungen und Interaktionen.	Покупай награды и взаимодействия на стриме.
Earn more / participate	Gana más / participa	赚取更多 / 参与互动	Mehr verdienen / mitmachen	Зарабатывай больше / участвуй
Join the chat or risk Zs in the Arcade.	Participa en el chat o arriesga Zs en el Arcade.	参与聊天，或在 Arcade 中押上 Zs。	Mach im Chat mit oder setze Zs in der Arcade ein.	Участвуй в чате или рискуй Zs в Arcade.
Rewards	Recompensas	奖励	Belohnungen	Награды
View shop →	Ver tienda →	查看商店 →	Zum Shop →	В магазин →
Find your next stream interaction.	Encuentra tu próxima interacción del directo.	寻找下一次直播互动。	Finde deine nächste Stream-Interaktion.	Выбери следующее взаимодействие на стриме.
Browse all rewards →	Ver todas las recompensas →	浏览全部奖励 →	Alle Belohnungen ansehen →	Все награды →
Live Trivia	Trivia en directo	直播问答	Live-Quiz	Викторина в прямом эфире
Where Should Zeek Go Next?	¿Adónde debería ir Zeek ahora?	Zeek 下一站去哪儿？	Wohin soll Zeek als Nächstes reisen?	Куда Zeek поехать дальше?
Choose the next adventure	Elige la próxima aventura	选择下一次冒险	Wähle das nächste Abenteuer	Выбери следующее приключение
3 total votes across States and Countries. Updates every 10 seconds.	3 votos en total entre Estados y Países. Se actualiza cada 10 segundos.	州和国家共用 3 票。每 10 秒更新一次。	Insgesamt 3 Stimmen für Staaten und Länder. Aktualisierung alle 10 Sekunden.	Всего 3 голоса на штаты и страны. Обновление каждые 10 секунд.
votes left	votos restantes	票剩余	Stimmen übrig	голосов осталось
States	Estados	州	US-Bundesstaaten	Штаты
Countries	Países	国家	Länder	Страны
Search destinations	Buscar destinos	搜索目的地	Reiseziele suchen	Поиск направлений
vote	voto	票	Stimme	голос
votes	votos	票	Stimmen	голоса
Vote for	Votar por	投票给	Stimmen für	Голосовать за
Vote	Votar	投票	Abstimmen	Голосовать
Saving…	Guardando…	正在保存…	Wird gespeichert…	Сохранение…
Sign in with Kick to keep your votes across devices. Guest votes are saved on this device.	Inicia sesión con Kick para conservar tus votos entre dispositivos. Los votos de invitados se guardan en este dispositivo.	登录 Kick 可跨设备保留投票记录。访客投票保存在此设备上。	Melde dich mit Kick an, um deine Stimmen geräteübergreifend zu behalten. Gaststimmen werden auf diesem Gerät gespeichert.	Войди через Kick, чтобы сохранить голоса на разных устройствах. Гостевые голоса сохраняются на этом устройстве.
3 votes across countries and states.	3 votos entre países y estados.	国家与州共用 3 票。	3 Stimmen für Länder und US-Bundesstaaten.	3 голоса на страны и штаты.
Search results	Resultados de búsqueda	搜索结果	Suchergebnisse	Результаты поиска
Top 5 destinations	Los 5 destinos más votados	前 5 名目的地	Top 5 Reiseziele	Топ-5 направлений
